Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,total_system_load,net_daily_intake,care_load_growth_rate_pct,positive_net_intake_flag,net_intake_direction,cumulative_net_intake_pressure,consecutive_positive_net_intake_days,backlog_indicator,backlog_severity_score,logical_constraint_anomaly_flag,year,month,month_name,year_month,day_of_week,rolling_7d_avg_system_load,rolling_7d_avg_net_intake,rolling_7d_avg_growth_rate_pct,rolling_7d_avg_backlog_severity,rolling_14d_avg_system_load,rolling_14d_avg_net_intake,rolling_14d_avg_growth_rate_pct,rolling_14d_avg_backlog_severity,system_load_vs_7d_avg_gap,system_load_vs_14d_avg_gap,net_intake_vs_7d_avg_gap,net_intake_vs_14d_avg_gap,above_7d_system_load_avg_flag,above_14d_system_load_avg_flag,positive_7d_net_intake_pressure_flag,positive_14d_net_intake_pressure_flag,rolling_pressure_level,rolling_7d_std_system_load,rolling_7d_std_net_intake,rolling_7d_std_growth_rate,rolling_14d_std_system_load,rolling_14d_std_net_intake,rolling_14d_std_growth_rate,rolling_7d_system_load_range,rolling_14d_system_load_range,rolling_7d_net_intake_range,rolling_14d_net_intake_range,system_load_volatility_flag,net_intake_volatility_flag,growth_rate_volatility_flag,volatility_pressure_score,volatility_pressure_level,daily_system_load_change,daily_net_intake_change,daily_growth_rate_change,daily_backlog_severity_change,daily_cbp_custody_change,daily_hhs_care_change,system_load_pct_change,net_intake_pct_change,cbp_custody_pct_change,hhs_care_pct_change,system_load_spike_flag,major_system_load_spike_flag,net_intake_spike_flag,major_net_intake_spike_flag,growth_rate_spike_flag,major_growth_rate_spike_flag,backlog_severity_jump_flag,system_load_change_direction,net_intake_change_direction,pressure_spike_score,pressure_spike_level,pressure_spike_risk_category,rolling_pressure_signal,volatility_pressure_signal,pressure_spike_signal,pressure_spike_risk_signal,high_load_signal,backlog_pressure_signal,logical_anomaly_signal,intake_pressure_signal,daily_pressure_signal_count,daily_strain_score,daily_strain_level,high_pressure_day_flag,severe_pressure_day_flag,pressure_window_break,pressure_window_id,prolonged_pressure_window_flag,prolonged_pressure_window_category,rolling_pressure_component_score,volatility_pressure_component_score,pressure_spike_component_score,daily_strain_component_score,load_intensity_component_score,net_intake_component_score,growth_pressure_component_score,backlog_component_score,window_pressure_component_score,critical_window_component_score,final_pressure_stress_score,final_pressure_stress_level,operational_response_category,primary_pressure_driver,final_pressure_priority_rank
2023-02-05,16,18,15,7586,342,7604,-327,-3.65,False,Relief: Discharges Exceed Transfers,-2386,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Sunday,7734.86,-218.0,0.27,0.0,7521.73,-216.91,1.31,0.0,-130.86,82.27,-109.0,-110.09,False,True,False,False,Normal Rolling Pressure,170.59643272103347,80.47774019358812,2.24954704435402,383.3351251605025,93.53016042481114,3.00683373183638,418.0,1316.0,205.0,280.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,-288.0,-52.0,-3.11,0.0,5.0,-293.0,-3.6492650785605703,18.90909090909092,38.46153846153846,-3.7187460337606337,True,False,False,False,False,False,False,System Load Decrease,Net Intake Decrease,1,Moderate Pressure Spike,Moderate Spike Watch,0,1,1,1,0,0,0,0,3,5,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,8.33,1.67,5.0,5.74,7.03,3.15,0.0,10,0,4.32,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,5
2023-02-06,11,22,12,7720,196,7742,-184,1.81,False,Relief: Discharges Exceed Transfers,-2570,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Monday,7760.86,-224.43,0.36,0.0,7540.08,-214.17,1.35,0.0,-18.86,201.92,40.43,30.17,False,True,False,False,Normal Rolling Pressure,152.40453686535065,74.70577207252718,2.3064794859368725,370.9857773145716,89.68209848057073,2.8705478043345134,418.0,1316.0,205.0,280.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,138.0,143.0,5.46,0.0,4.0,134.0,1.8148342977380327,-43.730886850152906,22.222222222222232,1.7664118112312055,False,False,True,False,True,True,False,System Load Increase,Net Intake Increase,3,High Pressure Spike,Multi-Factor Spike Risk,0,1,1,1,0,0,0,0,3,5,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,8.33,5.0,5.0,5.88,3.96,1.56,0.0,10,0,4.6,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,5
2023-02-07,16,20,20,7855,200,7875,-180,1.72,False,Relief: Discharges Exceed Transfers,-2750,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Tuesday,7812.0,-208.43,0.69,0.0,7565.85,-211.54,1.38,0.0,63.0,309.15,28.43,31.54,True,True,False,False,Load Above Rolling Average,111.51681487560067,69.64399266473538,2.3147384918634515,367.1370875104297,86.38539169000681,2.750246842068488,331.0,1316.0,205.0,280.0,Moderate Load Volatility,High Intake Volatility,High Growth Volatility,5,High Volatility Pressure,133.0,4.0,-0.09,0.0,-2.0,135.0,1.7179023508137492,-2.1739130434782594,-9.090909090909092,1.7487046632124414,False,False,False,False,False,False,False,System Load Increase,Net Intake Increase,0,No Major Spike,No Spike Risk,1,1,0,0,0,0,0,0,2,3,Moderate Daily Strain,1,0,2,2.0,1,Critical Prolonged Strain Window,0,8.33,0.0,3.0,6.02,3.87,1.48,0.0,10,0,3.37,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,4
2023-02-08,93,196,169,7915,317,8111,-148,3.0,False,Relief: Discharges Exceed Transfers,-2898,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Wednesday,7856.86,-205.71,0.59,0.0,7604.79,-207.0,1.5,0.0,254.14,506.21,57.71,59.0,True,True,False,False,Load Above Rolling Average,157.95930759895634,71.86263351170827,2.168992524521137,381.6402209434405,84.71581452579696,2.677621648461128,507.0,1492.0,205.0,280.0,Moderate Load Volatility,Moderate Intake Volatility,Moderate Growth Volatility,3,Moderate Volatility Pressure,236.0,32.0,1.28,0.0,176.0,60.0,2.9968253968253977,-17.777777777777782,880.0000000000001,0.7638446849140612,True,False,False,False,False,False,False,System Load Increase,Net Intake Increase,1,Moderate Pressure Spike,Moderate Spike Watch,1,1,1,1,0,0,0,0,4,7,High Daily Strain,1,1,2,2.0,1,Critical Prolonged Strain Window,0,5.0,1.67,7.0,6.26,3.18,2.59,0.0,10,0,3.95,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,4
2023-02-09,124,234,161,7908,353,8142,-192,0.38,False,Relief: Discharges Exceed Transfers,-3090,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Thursday,7900.14,-215.71,0.56,0.0,7713.57,-192.0,1.52,0.0,241.86,428.43,23.71,0.0,True,True,False,False,Load Above Rolling Average,190.42883935250345,62.53722700843685,2.170397154790757,283.4655627668467,63.45682966213512,2.663188310657355,538.0,971.0,179.0,205.0,Stable Load Volatility,Stable Intake Volatility,Moderate Growth Volatility,1,Low Volatility Pressure,31.0,-44.0,-2.62,0.0,38.0,-7.0,0.3821970163974786,29.729729729729737,19.387755102040828,-0.0884396715097879,False,False,False,False,False,False,False,System Load Increase,Net Intake Decrease,0,No Major Spike,No Spike Risk,1,0,0,0,0,0,0,0,1,2,Normal Daily Pressure,0,0,3,,0,No Prolonged Pressure Window,0,1.67,0.0,2.0,6.29,4.13,0.33,0.0,0,0,1.63,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,2
2023-02-12,92,203,173,7434,317,7637,-144,-6.2,False,Relief: Discharges Exceed Transfers,-3234,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Sunday,7857.57,-207.14,-0.5,0.0,7746.86,-188.86,0.48,0.0,-220.57,-109.86,63.14,44.86,False,False,False,False,Normal Rolling Pressure,213.276703793338,68.26035592110688,3.309152531418048,238.67482131483865,64.74667457199534,2.634839382472596,538.0,812.0,183.0,205.0,Stable Load Volatility,Stable Intake Volatility,Moderate Growth Volatility,1,Low Volatility Pressure,-505.0,48.0,-6.58,0.0,-31.0,-474.0,-6.202407270940801,-25.0,-13.247863247863243,-5.993930197268593,True,True,False,False,True,True,False,System Load Decrease,Net Intake Increase,4,High Pressure Spike,Multi-Factor Spike Risk,0,0,1,1,0,0,0,0,2,4,Moderate Daily Strain,1,0,4,4.0,1,High Prolonged Strain Window,0,1.67,6.67,4.0,5.77,3.1,5.34,0.0,7,0,3.49,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,4
2023-02-13,186,259,172,7483,244,7742,-72,1.37,False,Relief: Discharges Exceed Transfers,-3306,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Monday,7836.14,-178.14,-0.22,0.0,7776.29,-183.86,0.42,0.0,-94.14,-34.29,106.14,111.86,False,False,False,False,Normal Rolling Pressure,216.74826302374024,77.16741231769744,3.3829516556938715,206.5621264605685,71.04046208145927,2.601329330498982,538.0,667.0,255.0,255.0,Stable Load Volatility,Moderate Intake Volatility,Moderate Growth Volatility,2,Low Volatility Pressure,105.0,72.0,7.57,0.0,56.0,49.0,1.3748854262144894,-50.0,27.586206896551737,0.6591337099811634,False,False,False,False,True,True,False,System Load Increase,Net Intake Increase,2,Moderate Pressure Spike,Moderate Spike Watch,0,0,1,1,0,0,0,0,2,4,Moderate Daily Strain,1,0,4,4.0,1,High Prolonged Strain Window,0,3.33,3.33,4.0,5.88,1.55,1.18,0.0,7,0,2.96,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,3
2023-02-14,154,225,220,7794,223,8019,-3,3.58,False,Relief: Discharges Exceed Transfers,-3309,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Tuesday,7895.43,-131.86,0.81,0.0,7815.14,-174.93,0.54,0.0,123.57,203.86,128.86,171.93,True,True,False,False,Load Above Rolling Average,198.67130068101025,69.81983617718906,3.264344898911208,196.44566958551383,85.07052665579604,2.707963835036969,505.0,625.0,189.0,324.0,Stable Load Volatility,Moderate Intake Volatility,Moderate Growth Volatility,2,Low Volatility Pressure,277.0,69.0,2.21,0.0,-34.0,311.0,3.577886850942913,-95.83333333333334,-13.127413127413124,4.156087130829889,True,False,False,False,False,False,False,System Load Increase,Net Intake Increase,1,Moderate Pressure Spike,Moderate Spike Watch,1,0,1,1,0,0,0,0,3,6,High Daily Strain,1,1,4,4.0,1,High Prolonged Strain Window,0,3.33,1.67,6.0,6.16,0.06,3.09,0.0,7,0,3.17,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,4
2023-02-15,91,199,172,7869,290,8068,-118,0.61,False,Relief: Discharges Exceed Transfers,-3427,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Wednesday,7942.0,-122.43,0.64,0.0,7851.43,-173.43,0.5,0.0,126.0,216.57,4.43,55.43,True,True,False,False,Load Above Rolling Average,194.8845812269367,65.9541687913082,3.2343609069166166,192.57115140032803,85.9335291290392,2.702586977994672,505.0,625.0,189.0,324.0,Stable Load Volatility,High Intake Volatility,Moderate Growth Volatility,3,Moderate Volatility Pressure,49.0,-115.0,-2.97,0.0,-26.0,75.0,0.6110487591969083,3833.3333333333335,-11.555555555555552,0.9622786759045489,False,False,True,False,False,False,False,System Load Increase,Net Intake Decrease,1,Moderate Pressure Spike,Moderate Spike Watch,1,1,1,1,0,0,0,0,4,7,High Daily Strain,1,1,4,4.0,1,High Prolonged Strain Window,0,5.0,1.67,7.0,6.22,2.54,0.53,0.0,7,0,3.72,High System Stress,Priority Monitoring Required,Daily Strain Pressure,4
2023-02-16,81,213,153,7793,361,8006,-208,-0.77,False,Relief: Discharges Exceed Transfers,-3635,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Thursday,7960.71,-126.43,0.28,0.0,7886.36,-167.43,0.48,0.0,45.29,119.64,-81.57,-40.57,True,True,False,False,Load Above Rolling Average,193.6644127399331,70.70562717553467,3.232343982166443,170.3067852403442,79.72617974206301,2.70919445876161,505.0,538.0,205.0,324.0,Stable Load Volatility,Moderate Intake Volatility,Moderate Growth Volatility,2,Low Volatility Pressure,-62.0,-90.0,-1.38,0.0,14.0,-76.0,-0.7684680218145723,76.27118644067797,7.035175879396993,-0.9658152242978724,False,False,False,False,False,False,False,System Load Decrease,Net Intake Decrease,0,No Major Spike,No Spike Risk,1,0,0,0,0,0,0,0,1,2,Normal Daily Pressure,0,0,5,,0,No Prolonged Pressure Window,0,3.33,0.0,2.0,6.15,4.47,0.66,0.0,0,0,1.96,Early Pressure Watch,Early Warning Review,Volatility Pressure,2
2023-02-20,209,285,184,7817,209,8102,-25,1.2,False,Relief: Discharges Exceed Transfers,-3660,0,No Current Backlog Pressure,0,False,2023,2,February,2023-02,Monday,7959.43,-108.86,0.02,0.0,7908.14,-157.29,0.31,0.0,142.57,193.86,83.86,132.29,True,True,False,False,Load Above Rolling Average,192.52693070741415,79.22211091067221,3.0462701627994035,177.35876597487768,88.35107293016928,2.5571761769577,505.0,538.0,205.0,324.0,Stable Load Volatility,High Intake Volatility,Moderate Growth Volatility,3,Moderate Volatility Pressure,96.0,183.0,1.97,0.0,72.0,24.0,1.1991006744941357,-87.98076923076923,33.80281690140845,0.3079686898498579,False,False,True,True,False,False,False,System Load Increase,Net Intake Increase,2,Moderate Pressure Spike,Major Intake Increase Risk,1,1,1,1,0,0,0,0,4,7,High Daily Strain,1,1,6,6.0,1,High Prolonged Strain Window,0,5.0,3.33,7.0,6.25,0.54,1.03,0.0,7,0,3.89,High System Stress,Priority Monitoring Required,Daily Strain Pressure,4
2023-02-21,184,314,217,7967,213,8281,4,2.21,True,Pressure: Transfers Exceed Discharges,-3656,1,Short-Term Intake Pressure,1,False,2023,2,February,2023-02,Tuesday,7979.29,-80.86,0.29,0.14,7939.71,-148.29,0.42,0.07,301.71,341.29,84.86,152.29,True,True,False,False,Load Above Rolling Average,219.7405396414216,79.57476268983054,3.1583479708166906,201.76468722496628,98.10153968165888,2.6074382190061693,644.0,677.0,212.0,331.0,Stable Load Volatility,High Intake Volatility,Moderate Growth Volatility,3,Moderate Volatility Pressure,179.0,29.0,1.01,1.0,29.0,150.0,2.209331029375461,-116.0,10.175438596491237,1.918894716643216,False,False,False,False,False,False,True,System Load Increase,Net Intake Increase,1,Moderate Pressure Spike,Backlog Severity Escalation,1,1,1,1,0,0,0,1,5,8,High Daily Strain,1,1,6,6.0,1,High Prolonged Strain Window,0,5.0,1.67,8.0,6.43,0.09,1.91,3.33,7,0,4.05,High System Stress,Priority Monitoring Required,Daily Strain Pressure,4
