trend_period,reporting_days,period_start_date,period_end_date,avg_system_load,max_system_load,min_system_load,avg_net_daily_intake,total_net_daily_intake,avg_care_load_growth_pct,avg_backlog_severity_score,max_backlog_severity_score,avg_volatility_pressure_score,max_volatility_pressure_score,avg_pressure_spike_score,max_pressure_spike_score,avg_daily_strain_score,max_daily_strain_score,avg_final_pressure_stress_score,max_final_pressure_stress_score,normal_pressure_days,early_watch_days,moderate_stress_days,high_stress_days,critical_pressure_days,most_common_pressure_level,most_common_response_category,most_common_pressure_driver,trend_period_type,stress_day_count,stress_day_rate_pct,critical_pressure_rate_pct,high_or_critical_pressure_days,high_or_critical_pressure_rate_pct,previous_period,previous_avg_system_load,system_load_change,system_load_change_pct,previous_stress_score,stress_score_change,stress_score_change_pct,system_load_trend_direction,stress_score_trend_direction,normalized_load_movement,normalized_stress_movement,pressure_movement_score,pressure_trend_direction,pressure_movement_pattern,executive_pressure_signal
2023-02-05 00:00:00,1,2023-02-05,2023-02-05,7604.0,7604,7604,-327.0,-327,-3.65,0.0,0,5.0,5,1.0,1,5.0,5,4.32,4.32,0,0,0,0,1,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,Daily,1,100.0,100.0,1,100.0,2023-02-02 00:00:00,7892.0,-288.0,-3.649265078560568,3.36,0.9600000000000004,28.571428571428587,Decreasing,Increasing,-0.06070672748581402,0.188976377952756,0.05165066996154248,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-02-06 00:00:00,1,2023-02-06,2023-02-06,7742.0,7742,7742,-184.0,-184,1.81,0.0,0,5.0,5,3.0,3,5.0,5,4.6,4.6,0,0,0,0,1,Critical System Pressure,Immediate Escalation Required,Prolonged Window Pressure,Daily,1,100.0,100.0,1,100.0,2023-02-05 00:00:00,7604.0,138.0,1.8148342977380327,4.32,0.27999999999999936,6.481481481481466,Increasing,Increasing,0.02908864025361922,0.05511811023622035,0.04080190174578972,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-02-07 00:00:00,1,2023-02-07,2023-02-07,7875.0,7875,7875,-180.0,-180,1.72,0.0,0,5.0,5,0.0,0,3.0,3,3.37,3.37,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-06 00:00:00,7742.0,133.0,1.7179023508137432,4.6,-1.2299999999999995,-26.7391304347826,Increasing,Decreasing,0.02803470401254606,-0.2421259842519684,-0.09353760570648546,Pressure Decreasing,Pressure Cooling,Improving
2023-02-08 00:00:00,1,2023-02-08,2023-02-08,8111.0,8111,8111,-148.0,-148,3.0,0.0,0,3.0,3,1.0,1,7.0,7,3.95,3.95,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-07 00:00:00,7875.0,236.0,2.996825396825397,3.37,0.5800000000000001,17.210682492581604,Increasing,Increasing,0.04974579057865316,0.11417322834645671,0.07873813757416476,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-02-09 00:00:00,1,2023-02-09,2023-02-09,8142.0,8142,8142,-192.0,-192,0.38,0.0,0,1.0,1,0.0,0,2.0,2,1.63,1.63,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-02-08 00:00:00,8111.0,31.0,0.3821970163974849,3.95,-2.3200000000000003,-58.734177215189874,Stable,Decreasing,0.006534404694653592,-0.45669291338582685,-0.2019178884415626,Pressure Decreasing,Pressure Cooling,Improving
2023-02-12 00:00:00,1,2023-02-12,2023-02-12,7637.0,7637,7637,-144.0,-144,-6.2,0.0,0,1.0,1,4.0,4,4.0,4,3.49,3.49,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-09 00:00:00,8142.0,-505.0,-6.202407270940801,1.63,1.8600000000000003,114.1104294478528,Decreasing,Increasing,-0.10644756034838916,0.36614173228346464,0.10621762133594503,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-02-13 00:00:00,1,2023-02-13,2023-02-13,7742.0,7742,7742,-72.0,-72,1.37,0.0,0,2.0,2,2.0,2,4.0,4,2.96,2.96,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-02-12 00:00:00,7637.0,105.0,1.374885426214482,3.49,-0.5300000000000002,-15.186246418338115,Increasing,Decreasing,0.022132661062536363,-0.10433070866141737,-0.03477585531324282,Pressure Decreasing,Pressure Cooling,Improving
2023-02-14 00:00:00,1,2023-02-14,2023-02-14,8019.0,8019,8019,-3.0,-3,3.58,0.0,0,2.0,2,1.0,1,6.0,6,3.17,3.17,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-13 00:00:00,7742.0,277.0,3.577886850942909,2.96,0.20999999999999996,7.094594594594593,Increasing,Increasing,0.05838806775545307,0.04133858267716534,0.0507157994702236,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-02-15 00:00:00,1,2023-02-15,2023-02-15,8068.0,8068,8068,-118.0,-118,0.61,0.0,0,3.0,3,1.0,1,7.0,7,3.72,3.72,0,0,0,1,0,High System Stress,Priority Monitoring Required,Daily Strain Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-14 00:00:00,8019.0,49.0,0.6110487591969073,3.17,0.5500000000000003,17.350157728706634,Stable,Increasing,0.010328575162516968,0.10826771653543313,0.05440118878032924,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-02-16 00:00:00,1,2023-02-16,2023-02-16,8006.0,8006,8006,-208.0,-208,-0.77,0.0,0,2.0,2,0.0,0,2.0,2,1.96,1.96,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Volatility Pressure,Daily,0,0.0,0.0,0,0.0,2023-02-15 00:00:00,8068.0,-62.0,-0.7684680218145761,3.72,-1.7600000000000002,-47.31182795698925,Decreasing,Decreasing,-0.013068809389307184,-0.3464566929133859,-0.1630933569751426,Pressure Decreasing,Broad Pressure Relief,Improving
2023-02-20 00:00:00,1,2023-02-20,2023-02-20,8102.0,8102,8102,-25.0,-25,1.2,0.0,0,3.0,3,2.0,2,7.0,7,3.89,3.89,0,0,0,1,0,High System Stress,Priority Monitoring Required,Daily Strain Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-16 00:00:00,8006.0,96.0,1.1991006744941295,1.96,1.9300000000000002,98.46938775510206,Increasing,Increasing,0.020235575828604673,0.37992125984251973,0.18209413363486646,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-02-21 00:00:00,1,2023-02-21,2023-02-21,8281.0,8281,8281,4.0,4,2.21,1.0,1,3.0,3,1.0,1,8.0,8,4.05,4.05,0,0,0,1,0,High System Stress,Priority Monitoring Required,Daily Strain Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-20 00:00:00,8102.0,179.0,2.209331029375463,3.89,0.1599999999999997,4.11311053984575,Increasing,Stable,0.037730917430419134,0.03149606299212592,0.034925232933187195,Pressure Increasing,Load-Led Pressure Increase,Monitor Increase
2023-02-22 00:00:00,1,2023-02-22,2023-02-22,8193.0,8193,8193,-2.0,-2,-1.06,0.0,0,3.0,3,0.0,0,4.0,4,2.67,2.67,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-02-21 00:00:00,8281.0,-88.0,-1.0626735901461177,4.05,-1.38,-34.074074074074076,Decreasing,Decreasing,-0.018549277842887617,-0.2716535433070866,-0.13244619730177715,Pressure Decreasing,Broad Pressure Relief,Improving
2023-02-23 00:00:00,1,2023-02-23,2023-02-23,8076.0,8076,8076,-208.0,-208,-1.43,0.0,0,3.0,3,2.0,2,6.0,6,3.91,3.91,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-02-22 00:00:00,8193.0,-117.0,-1.4280483339436105,2.67,1.2400000000000002,46.44194756554308,Decreasing,Increasing,-0.024662108041111946,0.24409448818897642,0.09627836026242781,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-02-26 00:00:00,1,2023-02-26,2023-02-26,7799.0,7799,7799,-147.0,-147,-3.43,0.0,0,2.0,2,1.0,1,4.0,4,2.89,2.89,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-02-23 00:00:00,8076.0,-277.0,-3.4299157999009413,3.91,-1.02,-26.08695652173913,Decreasing,Decreasing,-0.05838806775545307,-0.20078740157480315,-0.12246776797416062,Pressure Decreasing,Broad Pressure Relief,Improving
2023-02-27 00:00:00,1,2023-02-27,2023-02-27,8039.0,8039,8039,-82.0,-82,3.08,0.0,0,2.0,2,3.0,3,4.0,4,3.35,3.35,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-02-26 00:00:00,7799.0,240.0,3.077317604821131,2.89,0.45999999999999996,15.916955017301035,Increasing,Increasing,0.050588939571511685,0.0905511811023622,0.06857194826039442,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-02-28 00:00:00,1,2023-02-28,2023-02-28,8112.0,8112,8112,-31.0,-31,0.91,0.0,0,2.0,2,0.0,0,2.0,2,1.74,1.74,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Volatility Pressure,Daily,0,0.0,0.0,0,0.0,2023-02-27 00:00:00,8039.0,73.0,0.9080731434257993,3.35,-1.61,-48.059701492537314,Increasing,Decreasing,0.015387469119668137,-0.3169291338582677,-0.134155002220403,Pressure Decreasing,Pressure Cooling,Improving
2023-03-01 00:00:00,1,2023-03-01,2023-03-01,8088.0,8088,8088,-114.0,-114,-0.3,0.0,0,2.0,2,0.0,0,3.0,3,2.04,2.04,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Volatility Pressure,Daily,1,100.0,0.0,0,0.0,2023-02-28 00:00:00,8112.0,-24.0,-0.2958579881656805,1.74,0.30000000000000004,17.241379310344833,Stable,Increasing,-0.005058893957151168,0.05905511811023623,0.02379241147317316,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-03-02 00:00:00,1,2023-03-02,2023-03-02,8097.0,8097,8097,-143.0,-143,0.11,0.0,0,2.0,2,0.0,0,2.0,2,1.85,1.85,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Volatility Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-01 00:00:00,8088.0,9.0,0.11127596439169139,2.04,-0.18999999999999995,-9.313725490196076,Stable,Decreasing,0.0018970852339316882,-0.037401574803149595,-0.01578731178275489,Pressure Stable,Stable Pressure Movement,Stable
2023-03-07 00:00:00,1,2023-03-07,2023-03-07,8073.0,8073,8073,-99.0,-99,-0.3,0.0,0,1.0,1,0.0,0,2.0,2,1.5,1.5,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-02 00:00:00,8097.0,-24.0,-0.29640607632456467,1.85,-0.3500000000000001,-18.918918918918923,Stable,Decreasing,-0.005058893957151168,-0.06889763779527561,-0.033786328684307164,Pressure Decreasing,Pressure Cooling,Improving
2023-03-08 00:00:00,1,2023-03-08,2023-03-08,8093.0,8093,8093,-132.0,-132,0.25,0.0,0,1.0,1,0.0,0,2.0,2,1.55,1.55,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-07 00:00:00,8073.0,20.0,0.24773937817416078,1.5,0.050000000000000044,3.333333333333336,Stable,Stable,0.00421574496429264,0.009842519685039379,0.006747793588628673,Pressure Stable,Stable Pressure Movement,Stable
2023-03-09 00:00:00,1,2023-03-09,2023-03-09,8071.0,8071,8071,-190.0,-190,-0.27,0.0,0,1.0,1,0.0,0,0.0,0,1.18,1.18,1,0,0,0,0,Normal Operating Pressure,Routine Monitoring,Volatility Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-08 00:00:00,8093.0,-22.0,-0.27183986160879775,1.55,-0.3700000000000001,-23.870967741935488,Stable,Decreasing,-0.004637319460721904,-0.07283464566929136,-0.03532611625457816,Pressure Decreasing,Pressure Cooling,Improving
2023-03-13 00:00:00,1,2023-03-13,2023-03-13,7797.0,7797,7797,-43.0,-43,-3.39,0.0,0,1.0,1,3.0,3,4.0,4,2.78,2.78,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Sudden Spike Pressure,Daily,1,100.0,0.0,0,0.0,2023-03-09 00:00:00,8071.0,-274.0,-3.3948705240986246,1.18,1.5999999999999999,135.59322033898303,Decreasing,Increasing,-0.05775570601080917,0.31496062992125984,0.10996664515862188,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-03-14 00:00:00,1,2023-03-14,2023-03-14,8086.0,8086,8086,33.0,33,3.71,1.0,1,2.0,2,4.0,4,7.0,7,4.2,4.2,0,0,0,0,1,Critical System Pressure,Immediate Escalation Required,Daily Strain Pressure,Daily,1,100.0,100.0,1,100.0,2023-03-13 00:00:00,7797.0,289.0,3.706553802744646,2.78,1.4200000000000004,51.079136690647495,Increasing,Increasing,0.06091751473402865,0.27952755905511817,0.15929203467851893,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-03-15 00:00:00,1,2023-03-15,2023-03-15,8135.0,8135,8135,-73.0,-73,0.61,0.0,0,2.0,2,0.0,0,2.0,2,1.79,1.79,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Volatility Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-14 00:00:00,8086.0,49.0,0.6059856542171654,4.2,-2.41,-57.38095238095238,Stable,Decreasing,0.010328575162516968,-0.4744094488188977,-0.20780353562911963,Pressure Decreasing,Pressure Cooling,Improving
2023-03-16 00:00:00,1,2023-03-16,2023-03-16,8269.0,8269,8269,-162.0,-162,1.65,0.0,0,2.0,2,0.0,0,2.0,2,1.96,1.96,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Volatility Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-15 00:00:00,8135.0,134.0,1.6472034419176398,1.79,0.16999999999999993,9.49720670391061,Increasing,Stable,0.02824549126076069,0.03346456692913384,0.030594075311528607,Pressure Increasing,Load-Led Pressure Increase,Monitor Increase
2023-03-19 00:00:00,1,2023-03-19,2023-03-19,8179.0,8179,8179,-120.0,-120,-1.09,0.0,0,1.0,1,0.0,0,2.0,2,1.58,1.58,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-16 00:00:00,8269.0,-90.0,-1.0884024670455918,1.96,-0.3799999999999999,-19.38775510204081,Decreasing,Decreasing,-0.01897085233931688,-0.07480314960629919,-0.04409538610945893,Pressure Decreasing,Broad Pressure Relief,Improving
2023-03-20 00:00:00,1,2023-03-20,2023-03-20,8244.0,8244,8244,-121.0,-121,0.79,0.0,0,1.0,1,0.0,0,2.0,2,1.57,1.57,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-19 00:00:00,8179.0,65.0,0.7947181807066878,1.58,-0.010000000000000009,-0.6329113924050638,Increasing,Stable,0.013701171133951081,-0.0019685039370078757,0.006649817352019551,Pressure Stable,Load-Led Pressure Increase,Monitor Increase
2023-03-21 00:00:00,1,2023-03-21,2023-03-21,8322.0,8322,8322,-28.0,-28,0.95,0.0,0,0.0,0,0.0,0,2.0,2,1.16,1.16,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-20 00:00:00,8244.0,78.0,0.9461426491994178,1.57,-0.41000000000000014,-26.114649681528668,Increasing,Decreasing,0.016441405360741297,-0.08070866141732286,-0.02727612468938757,Pressure Decreasing,Pressure Cooling,Improving
2023-03-22 00:00:00,1,2023-03-22,2023-03-22,8374.0,8374,8374,-17.0,-17,0.62,0.0,0,0.0,0,0.0,0,2.0,2,1.14,1.14,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-21 00:00:00,8322.0,52.0,0.6248497957221821,1.16,-0.020000000000000018,-1.7241379310344844,Increasing,Stable,0.010960936907160865,-0.0039370078740157514,0.004256861755631388,Pressure Stable,Load-Led Pressure Increase,Monitor Increase
2023-03-23 00:00:00,1,2023-03-23,2023-03-23,8378.0,8378,8378,-153.0,-153,0.05,0.0,0,0.0,0,1.0,1,6.0,6,2.65,2.65,0,0,0,1,0,High System Stress,Priority Monitoring Required,Prolonged Window Pressure,Daily,1,100.0,0.0,1,100.0,2023-03-22 00:00:00,8374.0,4.0,0.04776689754000478,1.14,1.51,132.4561403508772,Stable,Increasing,0.0008431489928585281,0.29724409448818895,0.13422357446575722,Pressure Increasing,Stress-Led Pressure Increase,Watch Closely
2023-03-26 00:00:00,1,2023-03-26,2023-03-26,8093.0,8093,8093,-179.0,-179,-3.4,0.0,0,0.0,0,1.0,1,4.0,4,2.36,2.36,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-03-23 00:00:00,8378.0,-285.0,-3.4017665313917402,2.65,-0.29000000000000004,-10.943396226415096,Decreasing,Decreasing,-0.06007436574117012,-0.057086614173228356,-0.05872987753559633,Pressure Decreasing,Broad Pressure Relief,Improving
2023-03-27 00:00:00,1,2023-03-27,2023-03-27,8165.0,8165,8165,-78.0,-78,0.89,0.0,0,0.0,0,1.0,1,4.0,4,2.13,2.13,0,0,1,0,0,Moderate System Stress,Operational Watch Required,Prolonged Window Pressure,Daily,1,100.0,0.0,0,0.0,2023-03-26 00:00:00,8093.0,72.0,0.8896577289015198,2.36,-0.22999999999999998,-9.745762711864407,Increasing,Decreasing,0.015176681871453506,-0.0452755905511811,-0.012026840718732064,Pressure Stable,Stable Pressure Movement,Stable
2023-03-28 00:00:00,1,2023-03-28,2023-03-28,8288.0,8288,8288,-66.0,-66,1.51,0.0,0,0.0,0,0.0,0,2.0,2,1.23,1.23,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-27 00:00:00,8165.0,123.0,1.5064298836497245,2.13,-0.8999999999999999,-42.25352112676056,Increasing,Decreasing,0.02592683153039974,-0.17716535433070865,-0.06546465210709904,Pressure Decreasing,Pressure Cooling,Improving
2023-03-29 00:00:00,1,2023-03-29,2023-03-29,8453.0,8453,8453,-108.0,-108,1.99,0.0,0,0.0,0,0.0,0,2.0,2,1.33,1.33,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-28 00:00:00,8288.0,165.0,1.9908301158301156,1.23,0.10000000000000009,8.130081300813014,Increasing,Stable,0.03477989595541428,0.019685039370078757,0.027987210492013297,Pressure Increasing,Load-Led Pressure Increase,Monitor Increase
2023-03-30 00:00:00,1,2023-03-30,2023-03-30,8414.0,8414,8414,-183.0,-183,-0.46,0.0,0,0.0,0,0.0,0,2.0,2,1.35,1.35,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-03-29 00:00:00,8453.0,-39.0,-0.46137465988406484,1.33,0.020000000000000018,1.5037593984962419,Stable,Stable,-0.008220702680370649,0.0039370078740157514,-0.002749732930896769,Pressure Stable,Stable Pressure Movement,Stable
2023-04-02 00:00:00,1,2023-04-02,2023-04-02,8213.0,8213,8213,-112.0,-112,-2.39,0.0,0,0.0,0,0.0,0,0.0,0,0.88,0.88,1,0,0,0,0,Normal Operating Pressure,Routine Monitoring,No Major Pressure Driver,Daily,0,0.0,0.0,0,0.0,2023-03-30 00:00:00,8414.0,-201.0,-2.388875683384835,1.35,-0.4700000000000001,-34.814814814814824,Decreasing,Decreasing,-0.04236823689114103,-0.0925196850393701,-0.06493638855784412,Pressure Decreasing,Broad Pressure Relief,Improving
2023-04-03 00:00:00,1,2023-04-03,2023-04-03,8193.0,8193,8193,-116.0,-116,-0.24,0.0,0,0.0,0,0.0,0,1.0,1,1.01,1.01,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-04-02 00:00:00,8213.0,-20.0,-0.24351637647631805,0.88,0.13,14.772727272727273,Stable,Stable,-0.00421574496429264,0.025590551181102362,0.009197088301135112,Pressure Stable,Stable Pressure Movement,Stable
2023-04-04 00:00:00,1,2023-04-04,2023-04-04,8303.0,8303,8303,-120.0,-120,1.34,0.0,0,0.0,0,0.0,0,2.0,2,1.3,1.3,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-04-03 00:00:00,8193.0,110.0,1.342609544733309,1.01,0.29000000000000004,28.712871287128717,Increasing,Increasing,0.023186597303609523,0.057086614173228356,0.038441604894938,Pressure Increasing,Broad Pressure Build-up,Watch Closely
2023-04-05 00:00:00,1,2023-04-05,2023-04-05,8420.0,8420,8420,-85.0,-85,1.41,0.0,0,0.0,0,0.0,0,2.0,2,1.27,1.27,0,1,0,0,0,Early Pressure Watch,Early Warning Review,Daily Strain Pressure,Daily,0,0.0,0.0,0,0.0,2023-04-04 00:00:00,8303.0,117.0,1.4091292303986511,1.3,-0.030000000000000027,-2.3076923076923097,Increasing,Stable,0.024662108041111946,-0.005905511811023627,0.01090667910765094,Pressure Stable,Load-Led Pressure Increase,Monitor Increase
